22 3 0
0 206.5 -165 0
1 206.5 165 0
2 206.5 -19 0
3 206.5 -15 0
4 266.5 -165 0
5 266.5 165 0
6 266.5 -19 0
7 266.5 -15 0
8 206.5 -116.333 0
9 206.5 -67.6667 0
10 206.5 30 0
11 206.5 75 0
12 206.5 120 0
13 266.5 -116.333 0
14 266.5 -67.6667 0
15 266.5 30 0
16 266.5 75 0
17 266.5 120 0
18 227.001 -2.39785 0
19 226.502 -28.0556 0
20 249.351 -12.2329 0
21 243.071 -38.9244 0
45 3 0
0 22 23 1
1 2 22 3
2 24 22 4
3 22 0 4
4 23 24 5
5 1 23 5
6 24 6 7
7 0 22 8
8 4 0 8
9 22 2 9
10 8 22 9
11 3 22 10
12 10 22 11
13 22 1 12
14 11 22 12
15 24 4 13
16 4 8 13
17 6 24 14
18 24 13 14
19 8 9 14
20 13 8 14
21 24 7 15
22 24 15 16
23 10 11 16
24 15 10 16
25 1 5 17
26 12 1 17
27 5 24 17
28 24 16 17
29 11 12 17
30 16 11 17
31 3 10 18
32 10 15 18
33 9 2 19
34 2 3 19
35 3 18 19
36 15 7 20
37 18 15 20
38 7 6 20
39 19 18 20
40 6 14 21
41 14 9 21
42 9 19 21
43 19 20 21
44 20 6 21
